",""IE_4_5.1"",""IE_4_5.2"",""IE_4_5.3"",""IE_4_5.4"",""IE_4_5.5"",""IE_4_5.6"",""IE_4_5.7"",""IE_4_5.8"",""IE_4_5.9"",""IE_4_5.10"",""IE_4_5.11"",""IE_4_5.12"",""IE_4_5.13"",""IE_4_5.14"",""IE_4_5.15"",""IE_4_5.16"",""IE_4_5.17"""
OCT 2007,2048577,55741,2.80,-3.24,3.56,6.08,3.47,-2.17,12.64,3.14,1911389,5.07,12.19,27.67,87.81,1869650,7.44
NOV 2007,2094473,71309,3.52,-4.41,4.54,8.33,4.40,-1.44,16.06,3.65,1592018,-4.12,11.94,25.61,88.06,1540270,-1.17
DIC 2007,2129547,106674,5.27,-2.28,6.18,11.90,5.98,-0.77,19.89,4.85,1261319,-9.01,10.66,25.29,89.34,1223197,-1.66
ENE 2008,2261925,179417,8.62,-1.04,9.78,20.03,9.42,2.08,27.14,7.86,1581360,-4.34,12.44,21.61,87.56,1534804,-0.31
FEB 2008,2315331,240056,11.57,0.40,12.95,33.46,12.22,3.61,36.12,9.92,1427302,1.35,13.04,22.79,86.96,1433895,5.03
MAR 2008,2300975,241524,11.73,0.37,13.16,18.27,12.98,4.54,44.22,9.41,1285644,-17.82,13.08,23.63,86.92,1258182,-17.16
ABR 2008,2338517,315393,15.59,-0.50,17.65,22.41,17.48,7.08,52.88,13.56,1459666,5.32,12.97,24.29,87.03,1416280,4.14
MAY 2008,2353575,380344,19.28,2.32,21.45,23.42,21.38,10.86,62.96,16.33,1384915,-14.80,11.88,24.29,88.12,1358012,-14.42
JUN 2008,2390424,424555,21.60,3.21,24.01,26.18,23.93,13.55,70.69,17.73,1419348,-10.29,10.85,25.09,89.15,1380772,-9.68
JUL 2008,2426916,456578,23.17,5.65,25.39,26.80,25.33,15.16,70.69,18.89,1626466,-7.32,9.86,26.45,90.14,1579837,-6.76
AGO 2008,2530001,501705,24.74,8.10,26.72,27.83,26.68,16.35,71.02,19.90,1049939,-18.42,9.29,24.35,90.71,1029885,-17.53
SEP 2008,2625368,608005,30.14,12.21,32.36,31.36,32.39,22.00,85.57,24.29,1501595,-5.91,11.55,28.59,88.45,1508428,-4.77
OCT 2008,2818026,769449,37.56,20.93,39.53,41.74,39.45,29.15,99.50,30.15,1584811,-17.09,11.37,30.44,88.63,1569834,-16.04
NOV 2008,2989269,894796,42.72,22.25,45.11,45.10,45.11,37.05,106.72,34.74,1162614,-26.97,11.11,28.35,88.89,1134563,-26.34
DIC 2008,3128963,999416,46.93,22.73,49.62,47.27,49.70,42.82,108.10,38.29,1117577,-11.40,9.22,27.44,90.78,1093148,-10.63
ENE 2009,3327801,1065876,47.12,10.63,50.12,41.46,50.36,47.81,98.86,39.04,1125773,-28.81,10.59,23.69,89.41,1111730,-27.57
FEB 2009,3481859,1166528,50.38,14.53,53.36,31.39,54.06,55.66,99.29,42.39,1016678,-28.77,11.38,25.22,88.62,998967,-30.33
MAR 2009,3605402,1304427,56.69,23.91,59.49,64.22,59.36,61.74,97.61,48.80,1061112,-17.46,11.42,26.47,88.58,1046948,-16.79
ABR 2009,3644880,1306363,55.86,33.26,57.72,63.09,57.57,62.07,89.97,47.79,1031420,-29.34,10.81,27.08,89.19,1031219,-27.19
MAY 2009,3620139,1266564,53.81,38.39,55.07,59.45,54.95,59.83,78.47,47.22,1110014,-19.85,9.83,26.62,90.17,1110227,-18.25
